Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Wii Sports,Wii,2006.0,Sports,Nintendo,41.36,28.96,3.77,8.45
Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.68,12.76,3.79,3.29
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.61,10.93,3.28,2.95
Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0
Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.28,9.14,6.5,2.88
Wii Play,Wii,2006.0,Misc,Nintendo,13.96,9.18,2.93,2.84
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.44,6.94,4.7,2.24
Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47
Nintendogs,DS,2005.0,Simulation,Nintendo,9.05,10.95,1.93,2.74
Mario Kart DS,DS,2005.0,Racing,Nintendo,9.71,7.47,4.13,1.9
Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71
Wii Fit,Wii,2007.0,Sports,Nintendo,8.92,8.03,3.6,2.15
Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.01,8.49,2.53,1.77
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.02,9.09,0.98,3.96
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57
Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.74,9.2,4.16,2.04
Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.38,4.46,6.04,1.36
Super Mario Land,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42
Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.66,5.14,0.06,1.41
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78
Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.43,5.35,5.32,1.18
Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.51,3.17,5.65,0.8
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16
